image_url,asset_id
http://s3-w2.parkme.com/lot_img/98040/af965f0d1bdd4261930c762664b74173.jpg,000051a4-b83b-11e2-885e-22000af8682a
http://s3.parkme.com/lot_img/94169/95dc24c9cd5d4096a38c1dfe2dea2237.jpg,000f801a-6562-11e2-ba8e-22000af90521
http://s3-w2.parkme.com/lot_img/118326/8ec9c0c6763649188e92d9bca3be4462.jpg,002017dc-d1e0-11e2-ad39-22000af8682a
http://s3-w2.parkme.com/lot_img/118494/b213128acd504145bbf47a4c907a9459.jpg,00210552-d4a1-11e2-9aa6-22000af8682a
http://s3-w2.parkme.com/lot_img/106347/c51caac9e2c44cf0ae9910a7b587ac36.jpg,002c9292-4651-11e3-86b2-22000af8682a
http://s3-w2.parkme.com/lot_img/119421/98ba4a9c46f2476ea7c60c054f99f46f.jpg,0032c3f4-f3a6-11e2-a5c4-22000afd0bd2
http://s3.parkme.com/lot_img/92244/8985a69b53e14d85bc8de7270ba47cc4.jpg,003a265e-a5df-11e2-8a64-22000af86439
http://s3-w2.parkme.com/lot_img/95110/5f28ddac20a448f983fc9e038c4e18ff.jpg,00403fb6-b69d-11e2-8cb9-22000afd0bd2
http://s3-w2.parkme.com/lot_img/118325/7fe024ef5c744280a2307c8163269ec8.jpg,0047e5c8-d122-11e2-aed6-22000afd0f6a
http://s3-w2.parkme.com/lot_img/88697/0086a8dd000445c1aa4716f520ba439f.jpg,004cdccc-f2ec-11e2-ab0d-22000af8682a
